Instancia,Tempo,Total Branching,Average Branching, Min Branching, Max Branching,States Visited,Puko Moves,Box Moves
levels/xsokoban/out/xsokoban-1-puko-moves-push-only,time limit (0.00 minutes)
levels/xsokoban/out/xsokoban-10-puko-moves-push-only,time limit (0.00 minutes)
levels/xsokoban/out/xsokoban-11-puko-moves-push-only,time limit (0.00 minutes)
levels/xsokoban/out/xsokoban-12-puko-moves-push-only,time limit (0.00 minutes)
levels/xsokoban/out/xsokoban-13-puko-moves-push-only,time limit (0.00 minutes)
levels/xsokoban/out/xsokoban-14-puko-moves-push-only,time limit (0.00 minutes)
levels/xsokoban/out/xsokoban-15-puko-moves-push-only,time limit (0.00 minutes)
levels/xsokoban/out/xsokoban-16-puko-moves-push-only,time limit (0.00 minutes)
levels/xsokoban/out/xsokoban-17-puko-moves-push-only,time limit (0.00 minutes)
levels/xsokoban/out/xsokoban-18-puko-moves-push-only,time limit (0.00 minutes)
levels/xsokoban/out/xsokoban-19-puko-moves-push-only,time limit (0.00 minutes)
levels/xsokoban/out/xsokoban-2-puko-moves-push-only,time limit (0.00 minutes)
levels/xsokoban/out/xsokoban-20-puko-moves-push-only,time limit (0.00 minutes)
levels/xsokoban/out/xsokoban-21-puko-moves-push-only,time limit (0.00 minutes)
levels/xsokoban/out/xsokoban-22-puko-moves-push-only,time limit (0.00 minutes)
levels/xsokoban/out/xsokoban-23-puko-moves-push-only,time limit (0.00 minutes)
levels/xsokoban/out/xsokoban-24-puko-moves-push-only,time limit (0.00 minutes)
levels/xsokoban/out/xsokoban-25-puko-moves-push-only,time limit (0.00 minutes)
levels/xsokoban/out/xsokoban-26-puko-moves-push-only,time limit (0.00 minutes)
levels/xsokoban/out/xsokoban-27-puko-moves-push-only,time limit (0.00 minutes)
levels/xsokoban/out/xsokoban-28-puko-moves-push-only,time limit (0.00 minutes)
levels/xsokoban/out/xsokoban-29-puko-moves-push-only,time limit (0.00 minutes)
levels/xsokoban/out/xsokoban-3-puko-moves-push-only,time limit (0.00 minutes)
levels/xsokoban/out/xsokoban-30-puko-moves-push-only,time limit (0.00 minutes)
levels/xsokoban/out/xsokoban-31-puko-moves-push-only,time limit (0.00 minutes)
levels/xsokoban/out/xsokoban-32-puko-moves-push-only,time limit (0.00 minutes)
levels/xsokoban/out/xsokoban-33-puko-moves-push-only,time limit (0.00 minutes)
levels/xsokoban/out/xsokoban-34-puko-moves-push-only,time limit (0.00 minutes)
levels/xsokoban/out/xsokoban-35-puko-moves-push-only,time limit (0.00 minutes)
levels/xsokoban/out/xsokoban-36-puko-moves-push-only,time limit (0.00 minutes)
levels/xsokoban/out/xsokoban-37-puko-moves-push-only,time limit (0.00 minutes)
levels/xsokoban/out/xsokoban-38-puko-moves-push-only,time limit (0.00 minutes)
levels/xsokoban/out/xsokoban-39-puko-moves-push-only,time limit (0.00 minutes)
levels/xsokoban/out/xsokoban-4-puko-moves-push-only,time limit (0.00 minutes)
levels/xsokoban/out/xsokoban-40-puko-moves-push-only,time limit (0.00 minutes)
levels/xsokoban/out/xsokoban-41-puko-moves-push-only,time limit (0.00 minutes)
levels/xsokoban/out/xsokoban-42-puko-moves-push-only,time limit (0.00 minutes)
levels/xsokoban/out/xsokoban-43-puko-moves-push-only,time limit (0.00 minutes)
levels/xsokoban/out/xsokoban-44-puko-moves-push-only,time limit (0.00 minutes)
levels/xsokoban/out/xsokoban-45-puko-moves-push-only,time limit (0.00 minutes)
levels/xsokoban/out/xsokoban-46-puko-moves-push-only,time limit (0.00 minutes)
levels/xsokoban/out/xsokoban-47-puko-moves-push-only,time limit (0.00 minutes)
levels/xsokoban/out/xsokoban-48-puko-moves-push-only,time limit (0.00 minutes)
levels/xsokoban/out/xsokoban-49-puko-moves-push-only,time limit (0.00 minutes)
levels/xsokoban/out/xsokoban-5-puko-moves-push-only,time limit (0.00 minutes)
levels/xsokoban/out/xsokoban-50-puko-moves-push-only,time limit (0.00 minutes)
levels/xsokoban/out/xsokoban-51-puko-moves-push-only,time limit (0.00 minutes)
levels/xsokoban/out/xsokoban-52-puko-moves-push-only,time limit (0.00 minutes)
levels/xsokoban/out/xsokoban-53-puko-moves-push-only,time limit (0.00 minutes)
levels/xsokoban/out/xsokoban-54-puko-moves-push-only,time limit (0.00 minutes)
levels/xsokoban/out/xsokoban-55-puko-moves-push-only,time limit (0.00 minutes)
levels/xsokoban/out/xsokoban-56-puko-moves-push-only,time limit (0.00 minutes)
levels/xsokoban/out/xsokoban-57-puko-moves-push-only,time limit (0.00 minutes)
levels/xsokoban/out/xsokoban-58-puko-moves-push-only,time limit (0.00 minutes)
levels/xsokoban/out/xsokoban-59-puko-moves-push-only,time limit (0.00 minutes)
levels/xsokoban/out/xsokoban-6-puko-moves-push-only,time limit (0.00 minutes)
levels/xsokoban/out/xsokoban-60-puko-moves-push-only,time limit (0.00 minutes)
levels/xsokoban/out/xsokoban-61-puko-moves-push-only,time limit (0.00 minutes)
levels/xsokoban/out/xsokoban-62-puko-moves-push-only,time limit (0.00 minutes)
levels/xsokoban/out/xsokoban-63-puko-moves-push-only,time limit (0.00 minutes)
levels/xsokoban/out/xsokoban-64-puko-moves-push-only,time limit (0.00 minutes)
levels/xsokoban/out/xsokoban-65-puko-moves-push-only,time limit (0.00 minutes)
levels/xsokoban/out/xsokoban-66-puko-moves-push-only,time limit (0.00 minutes)
levels/xsokoban/out/xsokoban-67-puko-moves-push-only,time limit (0.00 minutes)
levels/xsokoban/out/xsokoban-68-puko-moves-push-only,time limit (0.00 minutes)
levels/xsokoban/out/xsokoban-69-puko-moves-push-only,time limit (0.00 minutes)
levels/xsokoban/out/xsokoban-7-puko-moves-push-only,time limit (0.00 minutes)
levels/xsokoban/out/xsokoban-70-puko-moves-push-only,time limit (0.00 minutes)
levels/xsokoban/out/xsokoban-71-puko-moves-push-only,time limit (0.00 minutes)
levels/xsokoban/out/xsokoban-72-puko-moves-push-only,time limit (0.00 minutes)
levels/xsokoban/out/xsokoban-73-puko-moves-push-only,time limit (0.00 minutes)
levels/xsokoban/out/xsokoban-74-puko-moves-push-only,time limit (0.00 minutes)
levels/xsokoban/out/xsokoban-75-puko-moves-push-only,time limit (0.00 minutes)
